text,intent
Is there a discount section?，预算199元,ask_price
how are you,greet
I need time — just saying.，around 299 RMB,undecided
"Well, Not for me.，价位在99-199元",reject
Enough for today，under CNY 499,done
Not for me — just saying.,reject
talk to you later，under CNY 399,goodbye
Any stylish jackets?，预算599元,ask_product
I need sneakers,ask_product
"Hmm, None of these I guess.",reject
Looks promising — I like that.，around 599 RMB,confirmation
No，价位在199-299元,reject
Not sure about these，价位在699-799元,reject
I'd say Done for now.,done
I’ve seen enough，499元以内,done
Can I see some coats?，around 799 RMB,ask_product
I'm into casual style,ask_style
good evening，预算699元,greet
I’m grateful.，under CNY 599,thank_you
Not my style. That should work.，under CNY 999,reject
I can't decide right now.，不超过999元,undecided
Appreciate the recommendation.，399元以内,thank_you
That’s not what I meant. That should work.，around 999 RMB,reject
"Sure, Many thanks works.，价位在399-499元",thank_you
talk to you later，under CNY 699,goodbye
"Sure, this works — cool!，不超过999元",confirmation
"Well, Bye for now.",goodbye
Perfect? Looks good.，不超过499元,confirmation
Do you have sporty outfits?，≤999块,ask_style
Looks promising，around 499 RMB,confirmation
Not really — I suppose.，不超过499元,reject
Looking for items below $60,ask_price
goodbye,goodbye
Price range under $30,ask_price
Definitely Too formal.,reject
Catch you later,goodbye
Definitely Too sporty.，under CNY 399,reject
I need something not expensive，不超过699元,ask_price
Thank you!，≤999块,thank_you
Thank you very much.，预算399元,thank_you
hey，around 299 RMB,greet
Looks good to me? Looks good.,confirmation
"Well, Let me think.，under CNY 599",undecided
I appreciate it.,thank_you
Thanks a lot — just saying.，799元以内,thank_you
I don't know what I want.,undecided
I want a trendy look，under CNY 399,ask_style
Grateful for your advice.，999元以内,thank_you
I think I like them? Looks good.，under CNY 399,confirmation
I like minimal design,ask_style
"Well, Thank you.",thank_you
hello,greet
Maybe — just saying.，699元以内,undecided
hey,greet
I'm looking for a jacket，价位在199-299元,ask_product
"You know, Much appreciated.",thank_you
I need something not expensive，≤799块,ask_price
Cheers for that.，价位在899-999元,thank_you
I want to be sure before choosing.，999元以内,undecided
Show me others，around 799 RMB,reject
No thanks,done
I don’t see anything I want,reject
I need something not expensive，预算499元,ask_price
see you next time，预算999元,goodbye
Any low-cost jackets?,ask_price
Any stylish jackets?，under CNY 499,ask_product
hi again,greet
Maybe — just saying.，≤399块,undecided
"Sure, Let me think works.，预算299元",undecided
bye，under CNY 499,goodbye
Show me cheap options，价位在499-599元,ask_price
good morning，不超过299元,greet
"You know, Appreciate it.，预算599元",thank_you
Thanks a lot for the tips.,thank_you
goodbye，599元以内,goodbye
greetings，999元以内,greet
I'm into casual style，under CNY 799,ask_style
Looking for items below $150,ask_price
I'm done shopping，under CNY 799,goodbye
Great!. Appreciate it!，预算599元,confirmation
Could I see others,reject
good evening，around 599 RMB,greet
I'm searching for a raincoat,ask_product
Thanks a lot.，价位在299-399元,thank_you
"You know, Appreciate it.，预算399元",thank_you
I need sneakers，599元以内,ask_product
Just what I had in mind 👍，不超过699元,confirmation
Nothing else. Appreciate it!,done
Any elegant jackets?，under CNY 799,ask_style
I don’t like these,reject
That’s it,confirmation
Not interested... maybe.,reject
"No, thank you，799元以内",done
"You know, Let me think.",undecided
thanks a lot,goodbye
see you next time,goodbye
"You know, Many thanks.，不超过299元",thank_you
I’d like to see other options，不超过499元,reject
I'd say I like those.，不超过199元,confirmation
hello assistant，199元以内,greet
good morning，预算499元,greet
Price range under $64,ask_price
I just need some time.,undecided
hello assistant,greet
Any stylish jackets?，价位在399-499元,ask_product
Do you have anything under $100?,ask_price
Show me cheap options,ask_price
see you next time，价位在199-299元,goodbye
Let me think about it.,undecided
Do you have anything under $80?,ask_price
Just what I had in mind，under CNY 399,confirmation
I'll come back later,goodbye
It's not an easy choice.，around 799 RMB,undecided
thanks a lot，≤999块,goodbye
good morning,greet
I'm into casual style,ask_style
I need sneakers，价位在99-199元,ask_product
Do you have casual clothes?，价位在299-399元,ask_product
Not suitable 👍，≤699块,reject
"Hmm, Thank you I guess.",thank_you
I need something not expensive,ask_price
Cheers — just saying.，around 399 RMB,thank_you
Show me winter wear，价位在299-399元,ask_product
I’ll pass，不超过499元,reject
I'm done shopping，under CNY 799,goodbye
Looking for something formal，≤399块,ask_style
I want to be sure before choosing.,undecided
I want to check more options.，around 999 RMB,undecided
Price range under $80,ask_price
Let me think — just saying.，预算999元,undecided
That’s nice，≤999块,confirmation
Cheers — just saying.，预算399元,thank_you
Looking for items below $60,ask_price
Any stylish jackets?,ask_product
Good choices. Appreciate it!，around 799 RMB,confirmation
I might come back later.，999元以内,undecided
Any low-cost jackets?,ask_price
Affordable options please,ask_price
I’m browsing casually for now.,undecided
Really appreciate that.，599元以内,thank_you
hey，999元以内,greet
how are you，价位在699-799元,greet
Let me look a bit more.，价位在699-799元,undecided
I’ll think about it.,undecided
hi again,greet
Looking for items below $50,ask_price
goodbye，预算999元,goodbye
Much appreciated!,thank_you
I want a trendy look,ask_style
Still deciding — just saying.，预算399元,undecided
"Hmm, Too cheap I guess.，预算699元",reject
Talk soon,goodbye
Nothing stands out，预算199元,reject
No further help,done
hi again，799元以内,greet
thank you，价位在199-299元,goodbye
goodbye,goodbye
Looking for items below $80,ask_price
"They're all nice, I don't know.，预算499元",undecided
"Hmm, I’ll pass I guess.",reject
good evening，不超过599元,greet
"You know, Maybe.，预算599元",undecided
Done for now,done
Maybe，不超过599元,undecided
Great!. Appreciate it!，不超过299元,confirmation
None of these — I suppose.,reject
Perfect，≤299块,confirmation
greetings,greet
"Really grateful, thanks!，under CNY 799",thank_you
Any stylish jackets?,ask_product
Thanks a lot.,thank_you
Really appreciate that.,thank_you
These match my needs — I like that.,confirmation
I’m not sure — just saying.，299元以内,undecided
These aren’t good — just saying.,reject
What do you have in business style?，around 199 RMB,ask_style
Looking for items below $80,ask_price
Show me others,reject
These match my needs，≤499块,confirmation
"Thanks, that helps!，不超过499元",thank_you
Cheers for that.,thank_you
Too expensive，around 599 RMB,reject
hello assistant，999元以内,greet
I'm looking for a jacket,ask_product
"Sure, No works.",reject
Not for me!,reject
Any stylish jackets?，≤199块,ask_product
That’s all for today,done
Not for me,reject
"Thanks, that’s helpful，≤299块",confirmation
Let me think... I’m grateful.,thank_you
Definitely I don’t see anything I want.，≤999块,reject
Thanks a million.,thank_you
"Sure, Let me think works.，around 499 RMB",undecided
"Hmm, Not what I had in mind I guess.，around 199 RMB",reject
Any stylish jackets?，价位在499-599元,ask_product
Done for now，预算199元,done
"Yeah, No",reject
Everything looks nice.，预算699元,undecided
Don’t like them，799元以内,reject
Show me cheap options,ask_price
"Yeah, No，≤999块",reject
Nice selection. That should work.,confirmation
Got any running shoes?，under CNY 999,ask_product
Affordable options please，价位在299-399元,ask_price
Just what I had in mind 👍，不超过799元,confirmation
thank you，599元以内,goodbye
Thank you so so much.,thank_you
Yeah 👍,confirmation
thank you,goodbye
Thanks so much,thank_you
I need time，≤999块,undecided
I'm done shopping，预算499元,done
Thank you heaps.,thank_you
All good now，≤799块,done
It's a tough call.,undecided
Not interested,reject
What do you have in business style?,ask_style
appreciate your help，999元以内,goodbye
I'm into casual style，≤699块,ask_style
I’ll go with those，under CNY 499,confirmation
Let me think... Later.,goodbye
Fine with me，599元以内,confirmation
Thanks for assisting.，around 299 RMB,thank_you
I'm okay now. That should work.,done
Looking for items below $80,ask_price
I'm finished here — I like that.，价位在99-199元,done
Great!，around 999 RMB,confirmation
Not useful. Appreciate it!，around 299 RMB,reject
"Hmm, I don’t see anything I want I guess.，499元以内",reject
"Thanks, very useful!，under CNY 599",thank_you
"Nope, that's all，不超过699元",done
I think I like them，预算499元,confirmation
Nice selection? Looks good.，399元以内,confirmation
I’d like to see other options，价位在299-399元,reject
These don’t fit my needs? Looks good.,reject
Can I see some coats?，699元以内,ask_product
"You know, Much appreciated.",thank_you
good evening，预算399元,greet
Let me think... I’m grateful.，under CNY 699,thank_you
What’s the cheapest you have?，不超过499元,ask_price
Nothing stands out to me yet.,undecided
bye，价位在299-399元,goodbye
I'm searching for a raincoat，499元以内,ask_product
appreciate your help,goodbye
Enough for today? Looks good.，≤199块,done
I'm searching for a raincoat，799元以内,ask_product
Looking for items below $150,ask_price
Thanks again!，≤999块,thank_you
"Hmm, Many thanks I guess.",thank_you
Looks promising — I like that.,confirmation
Looks great，399元以内,confirmation
Do you have anything under $100?,ask_price
None of these — I suppose.，价位在299-399元,reject
Looking for items below $50,ask_price
"Well, See you.",goodbye
No thanks，around 399 RMB,done
Do you have any shoes?,ask_product
I want a trendy look，预算499元,ask_style
Still deciding.,undecided
good evening,greet
I'm on a budget,ask_price
Price range under $80,ask_price
Goodbye,goodbye
I really appreciate your time.,thank_you
I'm a little overwhelmed.，699元以内,undecided
I need time — just saying.,undecided
Definitely These match my needs.，价位在299-399元,confirmation
Sweet，价位在499-599元,confirmation
Looking for something formal，around 999 RMB,ask_style
I'm into casual style，≤299块,ask_style
Looks good to me，≤399块,confirmation
I like minimal design，under CNY 499,ask_style
Still deciding,undecided
hi again，价位在899-999元,greet
Show me winter wear，≤299块,ask_product
"Hmm, Many thanks I guess.，≤699块",thank_you
"Yeah, These aren’t good kinda.，599元以内",reject
Thanks!，价位在599-699元,thank_you
"Thank you, that's helpful.，预算999元",thank_you
"Sure, this works",confirmation
Not sure,undecided
cheers,goodbye
Let me think... No.,reject
Definitely I’m finished.,done
Show me cheap options，价位在599-699元,ask_price
good evening，999元以内,greet
These don’t fit my needs，不超过999元,reject
hi，599元以内,greet
I need sneakers,ask_product
Show me formal wear,ask_style
I need something not expensive，under CNY 399,ask_price
"Sure, Thanks so much works.，299元以内",thank_you
Too formal，预算199元,reject
"Thank you, this is great!",thank_you
"You know, Not for me.",reject
cheers，under CNY 299,goodbye
I’ll pass,reject
I need a minute.,undecided
Thanks a lot for the tips.，under CNY 799,thank_you
see you next time，价位在299-399元,goodbye
Not really,reject
I'm hesitating right now.,undecided
Looking for something formal,ask_style
Looking for items below $60,ask_price
Can I see some coats?,ask_product
Many thanks!,thank_you
Try something else,reject
Looking for items below $80,ask_price
No more help needed，预算299元,done
Price range under $180,ask_price
hello assistant，≤399块,greet
greetings，399元以内,greet
"Hmm, Not really I guess.",reject
"They're all nice, I don't know.",undecided
thanks a lot，不超过199元,goodbye
Yeah，599元以内,confirmation
Can I get different ones?，under CNY 199,reject
I'm not sure yet.,undecided
Don’t like them,reject
Not really!,reject
Thanks for the suggestions.，≤599块,thank_you
"Sure, Let me think works.",undecided
Thank you very much.,thank_you
"Well, I can't tell.",undecided
Those are just what I need? Looks good.,confirmation
"Yeah, Not really kinda.",reject
Not useful. Appreciate it!,reject
I'm into casual style，不超过599元,ask_style
That’s everything. That should work.，around 399 RMB,done
hi，价位在299-399元,greet
I don’t feel ready to decide.，价位在899-999元,undecided
Definitely I don’t see anything I want.,reject
Looking for items below $150,ask_price
What’s the cheapest you have?，under CNY 699,ask_price
Do you sell vintage clothes?，999元以内,ask_style
Looking for items below $50,ask_price
I'm on a budget，around 399 RMB,ask_price
I need something not expensive，around 799 RMB,ask_price
thanks a lot，不超过199元,goodbye
appreciate your help,goodbye
Nice selection? Looks good.，599元以内,confirmation
Any stylish jackets?，around 499 RMB,ask_product
Any stylish jackets?,ask_product
I think I’ll browse a little more.,undecided
I need time,undecided
I need time!,undecided
Thanks!,thank_you
I’m not sure，价位在899-999元,undecided
talk to you later，不超过299元,goodbye
I'm finished here,done
"Yeah, These don’t fit my needs，不超过699元",reject
Do you have casual clothes?，around 199 RMB,ask_product
Let me think — just saying.，不超过199元,undecided
I just can't decide yet.,undecided
Looking for items below $150,ask_price
Yeah 👍，不超过699元,confirmation
I don't know what I want.，预算799元,undecided
Thanks! That helps a lot.，≤299块,thank_you
"No, I'm good",done
Not suitable,reject
I like those,confirmation
Thanks!,thank_you
I'm looking for a jacket，≤999块,ask_product
"Yeah, Not sure about these，价位在899-999元",reject
bye，价位在99-199元,goodbye
I need sneakers，199元以内,ask_product
Not what I’m looking for. That should work.，≤999块,reject
Cheers — just saying.,thank_you
I'm done shopping，≤299块,goodbye
hello assistant,greet
I'm a little overwhelmed.，价位在499-599元,undecided
bye，不超过499元,goodbye
Looking for items below $50,ask_price
hello，around 499 RMB,greet
Thanks for the input.,thank_you
Show me cheap options，预算499元,ask_price
Do you have anything under $200?,ask_price
I’m finished，999元以内,done
I'm into casual style，预算599元,ask_style
All good now，预算299元,done
Any elegant jackets?,ask_style
I'm torn between options.，价位在599-699元,undecided
Fine with me 👍，599元以内,confirmation
I don’t like these，预算199元,reject
Can I see some coats?，399元以内,ask_product
Thanks so much，under CNY 799,thank_you
Nothing else,done
thank you,goodbye
I like minimal design，199元以内,ask_style
Nope... maybe.，预算599元,reject
"You’ve been great, thanks.，≤699块",thank_you
I might come back to this.，不超过399元,undecided
Too cheap，价位在399-499元,reject
Affordable options please，价位在899-999元,ask_price
Thanks again!，around 699 RMB,thank_you
I’m done，499元以内,done
No further help 👍，价位在99-199元,done
Appreciate the recommendation.，199元以内,thank_you
bye,goodbye
Let me think this through.,undecided
appreciate your help，预算199元,goodbye
bye,goodbye
hi again，under CNY 499,greet
Price range under $96,ask_price
Looking for items below $150,ask_price
Do you sell vintage clothes?,ask_style
Appreciate it a lot.，≤399块,thank_you
I’m satisfied,done
Let me think... No.，199元以内,reject
I’m leaving，≤799块,done
Show me formal wear，under CNY 799,ask_style
Do you have any shoes?，under CNY 599,ask_product
Is there a discount section?，under CNY 999,ask_price
"Everything looks good, I can't choose.，around 999 RMB",undecided
Looking for items below $50,ask_price
What do you have in business style?，around 499 RMB,ask_style
I'm into casual style,ask_style
I need to consider my options.，不超过299元,undecided
Do you have anything under $80?,ask_price
I don’t want more，around 699 RMB,done
"Yeah, These aren’t good kinda.，299元以内",reject
"Nope, that's all",done
I want to buy some boots，around 799 RMB,ask_product
Thanks a lot,thank_you
Thanks a lot — just saying.，under CNY 499,thank_you
Thank you so so much.，≤399块,thank_you
None of these... maybe.，199元以内,reject
I can't tell，不超过599元,undecided
That’s all for today，699元以内,done
Nope，≤299块,reject
Thanks for the suggestions.,thank_you
Not interested，around 399 RMB,reject
That’s not what I meant,reject
Looking for items below $150,ask_price
Let me think... I’ll pass.，under CNY 599,reject
Many thanks.,thank_you
Price range under $80,ask_price
Not what I’m looking for，≤599块,reject
I feel undecided.，around 199 RMB,undecided
Just what I had in mind，≤699块,confirmation
I’m done looking，预算599元,done
That's all I wanted — I like that.，around 999 RMB,done
greetings,greet
I'm searching for a raincoat，不超过799元,ask_product
Do you have casual clothes?，499元以内,ask_product
Any stylish jackets?，预算699元,ask_product
Thank you!，预算799元,thank_you
Thanks for the info.，≤699块,thank_you
"Sure, Let me think works.",undecided
I’m not sure — I suppose.,undecided
This doesn’t help，不超过799元,reject
Not interested，预算499元,reject
I'm really not sure yet.，不超过799元,undecided
Looks promising — I like that.，不超过199元,confirmation
Those are just what I need，under CNY 599,confirmation
I don’t feel ready to decide.,undecided
Not what I had in mind，under CNY 599,reject
It's not an easy choice.，around 299 RMB,undecided
Got any running shoes?，≤399块,ask_product
Do you have anything under $80?,ask_price
These don’t fit my needs? Looks good.，around 499 RMB,reject
Cheers — just saying.，around 199 RMB,thank_you
I'm searching for a raincoat，under CNY 599,ask_product
Looking for items below $60,ask_price
Show me formal wear，around 799 RMB,ask_style
Not useful. Appreciate it!，预算299元,reject
I need something stylish，预算999元,ask_style
I'm on the fence.，不超过599元,undecided
thank you，不超过399元,goodbye
how are you，≤999块,greet
Thanks for your help.，≤499块,thank_you
Thank you for the help.，199元以内,thank_you
Show me cheap options，999元以内,ask_price
Enough for today? Looks good.,done
I'm torn between options.，under CNY 399,undecided
Let me take a moment.,undecided
Much appreciated!，不超过499元,thank_you
Great!,confirmation
Let me sleep on it.，599元以内,undecided
good morning,greet
I don’t know,undecided
"Sure, Thanks so much works.，around 999 RMB",thank_you
"You know, Much appreciated.，around 799 RMB",thank_you
thanks a lot,goodbye
Thank you.，under CNY 999,thank_you
That's exactly what I wanted，价位在99-199元,confirmation
Any stylish jackets?,ask_product
Not my style，299元以内,reject
I’m grateful — I suppose.，around 299 RMB,thank_you
Good choices. Appreciate it!，预算299元,confirmation
Definitely These match my needs.,confirmation
Cheers,thank_you
"Yeah, These don’t fit my needs，价位在399-499元",reject
No further help 👍，预算299元,done
These aren’t what I want，不超过299元,reject
Yeah 👍，799元以内,confirmation
These don’t fit my needs? Looks good.，699元以内,reject
I need a minute.，价位在899-999元,undecided
Do you have anything under $80?,ask_price
Looking for something formal,ask_style
What’s the cheapest you have?，199元以内,ask_price
thank you，预算999元,goodbye
"Yeah, I’m grateful kinda.",thank_you
I’m grateful,thank_you
Do you have sporty outfits?,ask_style
Show me winter wear，价位在599-699元,ask_product
I'm on a budget，预算299元,ask_price
"Hmm, They’re fine I guess.",confirmation
greetings，预算299元,greet
These don’t fit my needs，≤299块,reject
What’s the cheapest you have?,ask_price
Can I get different ones?，under CNY 699,reject
"Thanks, that was great!",thank_you
Looking for items below $50,ask_price
hello assistant，around 399 RMB,greet
Looking for items below $150,ask_price
hello assistant，under CNY 199,greet
hey，不超过399元,greet
"Hmm, I don’t see anything I want I guess.",reject
I don’t need anything else,done
"Appreciate it, thank you.，under CNY 499",thank_you
I want to explore a bit more first.,undecided
"Definitely Sure, this works.，价位在199-299元",confirmation
Not really!，≤199块,reject
I think I’ll browse a little more.，≤299块,undecided
"Well, Thanks again.，around 399 RMB",thank_you
Perfect? Looks good.，不超过299元,confirmation
"Sure, this works，199元以内",confirmation
Too formal，不超过399元,reject
I'm looking for a jacket，预算599元,ask_product
Appreciate your support.，预算499元,thank_you
Looking for something formal，around 599 RMB,ask_style
Thanks again!，不超过499元,thank_you
That’ll be all，≤199块,done
Thanks for your guidance.,thank_you
Looking for items below $150,ask_price
I’m not sure — I suppose.，价位在499-599元,undecided
goodbye，≤599块,goodbye
Many thanks!，不超过699元,thank_you
I'm on a budget，预算199元,ask_price
goodbye,goodbye
Is there a discount section?，199元以内,ask_price
bye，under CNY 499,goodbye
I want to buy some boots,ask_product
"Thanks, that helps!，around 299 RMB",thank_you
I haven't decided — I suppose.，预算799元,undecided
Not what I’m looking for,reject
"Well, Thanks again.，around 699 RMB",thank_you
I want a trendy look,ask_style
"Yeah, I’m grateful kinda.，价位在99-199元",thank_you
See you... maybe.,goodbye
Looking for items below $80,ask_price
I need something stylish,ask_style
Looking for items below $50,ask_price
hey，不超过699元,greet
Can I see some coats?，≤499块,ask_product
"Definitely Sure, this works.，≤499块",confirmation
goodbye,goodbye
"Thanks, I’m all set，价位在199-299元",done
Try something else!,reject
These match my needs，299元以内,confirmation
bye,goodbye
Not useful,reject
Show me others. Appreciate it!，预算499元,reject
I’m still weighing my options.,undecided
"Yeah, Can I get different ones?，799元以内",reject
Not my style. That should work.,reject
Definitely These match my needs.，≤999块,confirmation
I'm okay now，around 299 RMB,done
I'm done shopping，不超过599元,goodbye
I need sneakers,ask_product
Thanks for your guidance.，价位在699-799元,thank_you
I'm searching for a raincoat，价位在299-399元,ask_product
Looking for items below $50,ask_price
Big thanks!，不超过499元,thank_you
"Thanks, very useful!",thank_you
Let me think... Maybe.,undecided
Got any running shoes?，699元以内,ask_product
I'll come back later，不超过999元,goodbye
I want to explore a bit more first.，under CNY 299,undecided
Price range under $180,ask_price
"You’ve been great, thanks.",thank_you
See you,goodbye
Got any running shoes?,ask_product
I'd say I like those.，价位在399-499元,confirmation
Sweet,confirmation
Is there a discount section?,ask_price
hey there,greet
I'm okay now,done
Any elegant jackets?,ask_style
hello assistant，under CNY 399,greet
greetings，价位在899-999元,greet
I need something stylish，预算499元,ask_style
Many thanks.，不超过199元,thank_you
Any stylish jackets?，预算799元,ask_product
Not useful，499元以内,reject
I’m good,done
hello，399元以内,greet
good evening,greet
What’s the cheapest you have?，around 699 RMB,ask_price
Looking for something formal，around 199 RMB,ask_style
Looking for items below $80,ask_price
hello assistant，不超过999元,greet
Too sporty，around 299 RMB,reject
"You know, Many thanks.",thank_you
Sincerely appreciate it.,thank_you
That’s all，价位在399-499元,done
Not for me，不超过799元,reject
I want a trendy look，≤799块,ask_style
"Well, Could I see others.，999元以内",reject
Those are just what I need，under CNY 499,confirmation
Not really — I suppose.,reject
Not what I’m looking for. That should work.，≤999块,reject
What do you have in business style?,ask_style
"Hmm, I don’t see anything I want I guess.，under CNY 499",reject
Too sporty，≤199块,reject
Could I see others... maybe.，预算499元,reject
"Thanks, that helps!",thank_you
Not what I had in mind — cool!,reject
Not sure — I suppose.，不超过799元,undecided
I need something not expensive，价位在399-499元,ask_price
Thanks again!,thank_you
These don’t fit my needs — I like that.,reject
talk to you later，价位在599-699元,goodbye
"Cool, I’ll take a look",confirmation
"You know, Maybe.",undecided
Show me winter wear，around 299 RMB,ask_product
hi,greet
What’s the cheapest you have?，不超过699元,ask_price
Let me think... Not interested.,reject
I’m good，价位在299-399元,done
Looking for items below $50,ask_price
appreciate your help，价位在299-399元,goodbye
Thank you for the help.，≤499块,thank_you
"Well, Thank you.，价位在399-499元",thank_you
Let me think this through.，under CNY 199,undecided
I don't want to rush this.,undecided
What’s the cheapest you have?，价位在499-599元,ask_price
That’ll be all,done
Still deciding.，预算299元,undecided
hi again，around 199 RMB,greet
These will work,confirmation
I'm looking for a jacket，around 199 RMB,ask_product
Got any running shoes?,ask_product
thank you,goodbye
thank you，≤999块,goodbye
hello，价位在599-699元,greet
Looks great,confirmation
This doesn’t help，under CNY 399,reject
I'm searching for a raincoat，预算499元,ask_product
I appreciate your time.，under CNY 499,thank_you
thanks a lot，≤599块,goodbye
Affordable options please,ask_price
Not really，under CNY 699,reject
I'm on a budget,ask_price
Thanks for your guidance.，≤999块,thank_you
This is a difficult decision.，699元以内,undecided
Let me take a moment.，around 299 RMB,undecided
These will work — I like that.，499元以内,confirmation
appreciate your help，≤999块,goodbye
I want to buy some boots，预算999元,ask_product
I like minimal design，under CNY 799,ask_style
Not for me，around 199 RMB,reject
Looking for something formal，around 599 RMB,ask_style
hey there，around 299 RMB,greet
hi again,greet
Can I get different ones?. That should work.，around 399 RMB,reject
goodbye，预算399元,goodbye
I'm really not sure yet.,undecided
Looking for items below $150,ask_price
It’s hard to make a decision.,undecided
I want a trendy look，under CNY 599,ask_style
Later,goodbye
Price range under $30,ask_price
Can I see some coats?，≤399块,ask_product
Do you have sporty outfits?,ask_style
Thanks!，399元以内,thank_you
"Really grateful, thanks!",thank_you
Looking for items below $60,ask_price
Looking for items below $150,ask_price
appreciate your help，预算499元,goodbye
"Yeah, Thank you kinda.，under CNY 299",thank_you
I'm into casual style，399元以内,ask_style
I want a trendy look，≤499块,ask_style
Any elegant jackets?，预算599元,ask_style
Is there a discount section?,ask_price
Do you have anything under $80?,ask_price
bye，≤599块,goodbye
I'm searching for a raincoat,ask_product
Do you sell vintage clothes?，不超过299元,ask_style
It’s hard to make a decision.，预算999元,undecided
"Well, Thanks, that’s all.",goodbye
"Sure, Many thanks works.",thank_you
Thank you heaps.，≤199块,thank_you
"Well, Not really.",reject
Looking for something formal,ask_style
Not for me，预算299元,reject
Got any running shoes?，599元以内,ask_product
Not what I had in mind,reject
What’s the cheapest you have?,ask_price
I'm into casual style，预算499元,ask_style
Price range under $96,ask_price
